log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2025-11-15 16:19:59.534193,1763248799.5341904,2025-11-15 23:19:59.533,1763248799.533635,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:19:59.534305,1763248799.5343025,2025-11-15 23:19:59.534,1763248799.534173,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:20:31.530688,1763248831.5306816,2025-11-15 23:20:31.530,1763248831.530376,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:24:59.308816,1763249099.3088133,2025-11-15 23:24:59.308,1763249099.308736,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 16:24:59.308853,1763249099.3088524,2025-11-15 23:24:59.308,1763249099.308794,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:24:59.308870,1763249099.3088696,2025-11-15 23:24:59.308,1763249099.308829,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:25:32.330630,1763249132.3306234,2025-11-15 23:25:32.330,1763249132.330041,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:30:00.012450,1763249400.0124476,2025-11-15 23:30:00.12,1763249400.012236,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 16:30:00.012487,1763249400.0124867,2025-11-15 23:30:00.12,1763249400.012298,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:30:00.012507,1763249400.0125072,2025-11-15 23:30:00.12,1763249400.012334,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:30:33.034783,1763249433.034777,2025-11-15 23:30:33.34,1763249433.03448,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:35:00.577194,1763249700.57719,2025-11-15 23:35:00.576,1763249700.576968,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 16:35:00.577261,1763249700.5772598,2025-11-15 23:35:00.577,1763249700.577046,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:35:00.577292,1763249700.5772908,2025-11-15 23:35:00.577,1763249700.577114,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:35:33.771902,1763249733.7718956,2025-11-15 23:35:33.771,1763249733.771436,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:40:00.270482,1763250000.2704809,2025-11-15 23:40:00.270,1763250000.270417,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 16:40:00.270522,1763250000.2705212,2025-11-15 23:40:00.270,1763250000.270466,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:40:00.270539,1763250000.2705386,2025-11-15 23:40:00.270,1763250000.2705,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:40:34.476040,1763250034.4760332,2025-11-15 23:40:34.475,1763250034.475641,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:45:00.042630,1763250300.0426283,2025-11-15 23:45:00.42,1763250300.042521,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 16:45:00.042666,1763250300.0426655,2025-11-15 23:45:00.42,1763250300.042573,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:45:00.042682,1763250300.0426822,2025-11-15 23:45:00.42,1763250300.042606,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:45:35.082273,1763250335.0822625,2025-11-15 23:45:35.81,1763250335.081858,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:50:00.472800,1763250600.4727976,2025-11-15 23:50:00.472,1763250600.472731,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 16:50:00.472971,1763250600.4729707,2025-11-15 23:50:00.472,1763250600.472933,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:50:00.473025,1763250600.473025,2025-11-15 23:50:00.472,1763250600.472995,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:50:35.689980,1763250635.689974,2025-11-15 23:50:35.689,1763250635.689774,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 16:55:00.221660,1763250900.2216594,2025-11-15 23:55:00.221,1763250900.221533,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 16:55:00.221687,1763250900.221687,2025-11-15 23:55:00.221,1763250900.221615,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 16:55:00.221703,1763250900.2217023,2025-11-15 23:55:00.221,1763250900.221651,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 16:55:37.326883,1763250937.326877,2025-11-15 23:55:37.326,1763250937.326623,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 17:00:00.841240,1763251200.8412375,2025-11-16 00:00:00.841,1763251200.841164,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 17:00:00.841314,1763251200.8413138,2025-11-16 00:00:00.841,1763251200.84128,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 17:00:00.841375,1763251200.8413746,2025-11-16 00:00:00.841,1763251200.841337,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 17:00:37.930584,1763251237.930578,2025-11-16 00:00:37.930,1763251237.930397,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 17:05:00.551357,1763251500.5513546,2025-11-16 00:05:00.551,1763251500.551284,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 17:05:00.551392,1763251500.551392,2025-11-16 00:05:00.551,1763251500.551331,300.0,speedway-mountain,MAP,0,NA,NA
